,district,Year,month,Visitors,district_1
1100,Adilabad,2016,November,99148,Adilabad
1210,Adilabad,2016,December,53125,Adilabad
990,Adilabad,2016,October,94184,Adilabad
110,Adilabad,2016,February,937820,Adilabad
330,Adilabad,2016,April,341948,Adilabad
440,Adilabad,2016,May,252887,Adilabad
220,Adilabad,2016,March,582946,Adilabad
660,Adilabad,2016,July,447562,Adilabad
880,Adilabad,2016,September,491279,Adilabad
550,Adilabad,2016,June,368237,Adilabad
770,Adilabad,2016,August,614285,Adilabad
0,Adilabad,2016,January,792136,Adilabad
661,Bhadradri Kothagudem ,2016,July,296343.3333,Bhadradri Kothagudem 
1211,Bhadradri Kothagudem ,2016,December,326770,Bhadradri Kothagudem 
441,Bhadradri Kothagudem ,2016,May,296343.3333,Bhadradri Kothagudem 
551,Bhadradri Kothagudem ,2016,June,296343.3333,Bhadradri Kothagudem 
881,Bhadradri Kothagudem ,2016,September,296343.3333,Bhadradri Kothagudem 
991,Bhadradri Kothagudem ,2016,October,310133,Bhadradri Kothagudem 
1101,Bhadradri Kothagudem ,2016,November,252127,Bhadradri Kothagudem 
111,Bhadradri Kothagudem ,2016,February,296343.3333,Bhadradri Kothagudem 
221,Bhadradri Kothagudem ,2016,March,296343.3333,Bhadradri Kothagudem 
1,Bhadradri Kothagudem ,2016,January,296343.3333,Bhadradri Kothagudem 
331,Bhadradri Kothagudem ,2016,April,296343.3333,Bhadradri Kothagudem 
771,Bhadradri Kothagudem ,2016,August,296343.3333,Bhadradri Kothagudem 
772,Hyderabad,2016,August,1061137,Hyderabad
2,Hyderabad,2016,January,1122510,Hyderabad
442,Hyderabad,2016,May,1287181,Hyderabad
1212,Hyderabad,2016,December,1225502,Hyderabad
992,Hyderabad,2016,October,901960,Hyderabad
222,Hyderabad,2016,March,1017794,Hyderabad
882,Hyderabad,2016,September,832987,Hyderabad
552,Hyderabad,2016,June,1203266,Hyderabad
1102,Hyderabad,2016,November,909733,Hyderabad
112,Hyderabad,2016,February,778748,Hyderabad
662,Hyderabad,2016,July,1096754,Hyderabad
332,Hyderabad,2016,April,1127738,Hyderabad
773,Jagtial ,2016,August,207692.3333,Jagtial 
1213,Jagtial ,2016,December,207294,Jagtial 
223,Jagtial ,2016,March,207692.3333,Jagtial 
1103,Jagtial ,2016,November,214534,Jagtial 
883,Jagtial ,2016,September,207692.3333,Jagtial 
333,Jagtial ,2016,April,207692.3333,Jagtial 
443,Jagtial ,2016,May,207692.3333,Jagtial 
663,Jagtial ,2016,July,207692.3333,Jagtial 
3,Jagtial ,2016,January,207692.3333,Jagtial 
553,Jagtial ,2016,June,207692.3333,Jagtial 
113,Jagtial ,2016,February,207692.3333,Jagtial 
993,Jagtial ,2016,October,201249,Jagtial 
774,Jangaon ,2016,August,13553.33333,Jangaon 
4,Jangaon ,2016,January,13553.33333,Jangaon 
224,Jangaon ,2016,March,13553.33333,Jangaon 
444,Jangaon ,2016,May,13553.33333,Jangaon 
