,district,Year,month,Visitors
0,Adilabad,2016,January,792136
110,Adilabad,2016,February,937820
220,Adilabad,2016,March,582946
330,Adilabad,2016,April,341948
440,Adilabad,2016,May,252887
550,Adilabad,2016,June,368237
660,Adilabad,2016,July,447562
770,Adilabad,2016,August,614285
880,Adilabad,2016,September,491279
990,Adilabad,2016,October,94184
1100,Adilabad,2016,November,99148
1210,Adilabad,2016,December,53125
1,Bhadradri Kothagudem ,2016,January,296343.3333
111,Bhadradri Kothagudem ,2016,February,296343.3333
221,Bhadradri Kothagudem ,2016,March,296343.3333
331,Bhadradri Kothagudem ,2016,April,296343.3333
441,Bhadradri Kothagudem ,2016,May,296343.3333
551,Bhadradri Kothagudem ,2016,June,296343.3333
661,Bhadradri Kothagudem ,2016,July,296343.3333
771,Bhadradri Kothagudem ,2016,August,296343.3333
881,Bhadradri Kothagudem ,2016,September,296343.3333
991,Bhadradri Kothagudem ,2016,October,310133
1101,Bhadradri Kothagudem ,2016,November,252127
1211,Bhadradri Kothagudem ,2016,December,326770
2,Hyderabad,2016,January,1122510
112,Hyderabad,2016,February,778748
222,Hyderabad,2016,March,1017794
332,Hyderabad,2016,April,1127738
442,Hyderabad,2016,May,1287181
552,Hyderabad,2016,June,12032661
662,Hyderabad,2016,July,1096754
772,Hyderabad,2016,August,1061137
882,Hyderabad,2016,September,832987
992,Hyderabad,2016,October,901960
1102,Hyderabad,2016,November,909733
1212,Hyderabad,2016,December,1225502
3,Jagtial ,2016,January,207692.3333
113,Jagtial ,2016,February,207692.3333
223,Jagtial ,2016,March,207692.3333
333,Jagtial ,2016,April,207692.3333
443,Jagtial ,2016,May,207692.3333
553,Jagtial ,2016,June,207692.3333
663,Jagtial ,2016,July,207692.3333
773,Jagtial ,2016,August,207692.3333
883,Jagtial ,2016,September,207692.3333
993,Jagtial ,2016,October,201249
1103,Jagtial ,2016,November,214534
1213,Jagtial ,2016,December,207294
4,Jangaon ,2016,January,13553.33333
114,Jangaon ,2016,February,13553.33333
224,Jangaon ,2016,March,13553.33333
334,Jangaon ,2016,April,13553.33333
444,Jangaon ,2016,May,13553.33333
554,Jangaon ,2016,June,13553.33333
664,Jangaon ,2016,July,13553.33333
774,Jangaon ,2016,August,13553.33333
884,Jangaon ,2016,September,13553.33333
994,Jangaon ,2016,October,14770
1104,Jangaon ,2016,November,13210
1214,Jangaon ,2016,December,12680
5,Jayashankar Bhoopalpally,2016,January,81133.33333
115,Jayashankar Bhoopalpally,2016,February,81133.33333
225,Jayashankar Bhoopalpally,2016,March,81133.33333
335,Jayashankar Bhoopalpally,2016,April,81133.33333
445,Jayashankar Bhoopalpally,2016,May,81133.33333
555,Jayashankar Bhoopalpally,2016,June,81133.33333
665,Jayashankar Bhoopalpally,2016,July,81133.33333
775,Jayashankar Bhoopalpally,2016,August,81133.33333
885,Jayashankar Bhoopalpally,2016,September,81133.33333
995,Jayashankar Bhoopalpally,2016,October,76360
1105,Jayashankar Bhoopalpally,2016,November,81580
1215,Jayashankar Bhoopalpally,2016,December,85460
6,Jogulamba Gadwal ,2016,January,174467
116,Jogulamba Gadwal ,2016,February,174467
226,Jogulamba Gadwal ,2016,March,174467
336,Jogulamba Gadwal ,2016,April,174467
446,Jogulamba Gadwal ,2016,May,174467
556,Jogulamba Gadwal ,2016,June,174467
666,Jogulamba Gadwal ,2016,July,174467
776,Jogulamba Gadwal ,2016,August,174467
886,Jogulamba Gadwal ,2016,September,174467
996,Jogulamba Gadwal ,2016,October,152898
1106,Jogulamba Gadwal ,2016,November,188170
1216,Jogulamba Gadwal ,2016,December,182333
7,Kamareddy ,2016,January,42.33333333
117,Kamareddy ,2016,February,42.33333333
227,Kamareddy ,2016,March,42.33333333
337,Kamareddy ,2016,April,42.33333333
447,Kamareddy ,2016,May,42.33333333
557,Kamareddy ,2016,June,42.33333333
667,Kamareddy ,2016,July,42.33333333
777,Kamareddy ,2016,August,42.33333333
887,Kamareddy ,2016,September,42.33333333
997,Kamareddy ,2016,October,47
1107,Kamareddy ,2016,November,38
1217,Kamareddy ,2016,December,42
8,Karimnagar ,2016,January,1984442
118,Karimnagar ,2016,February,779960
228,Karimnagar ,2016,March,1018399
338,Karimnagar ,2016,April,956959
448,Karimnagar ,2016,May,1095642
558,Karimnagar ,2016,June,914746
668,Karimnagar ,2016,July,401047
778,Karimnagar ,2016,August,1018399
888,Karimnagar ,2016,September,956959
998,Karimnagar ,2016,October,13675
1108,Karimnagar ,2016,November,13350
1218,Karimnagar ,2016,December,13890
9,Khammam,2016,January,651827
119,Khammam,2016,February,407533
229,Khammam,2016,March,458527
339,Khammam,2016,April,971622
449,Khammam,2016,May,433994
559,Khammam,2016,June,445862
669,Khammam,2016,July,414963
779,Khammam,2016,August,503654
889,Khammam,2016,September,368437
999,Khammam,2016,October,121575
1109,Khammam,2016,November,110634
1219,Khammam,2016,December,116403
10,Komaram Bheem Asifabad,2016,January,
120,Komaram Bheem Asifabad,2016,February,
230,Komaram Bheem Asifabad,2016,March,
340,Komaram Bheem Asifabad,2016,April,
450,Komaram Bheem Asifabad,2016,May,
560,Komaram Bheem Asifabad,2016,June,
670,Komaram Bheem Asifabad,2016,July,
780,Komaram Bheem Asifabad,2016,August,
890,Komaram Bheem Asifabad,2016,September,
1000,Komaram Bheem Asifabad,2016,October,0
1110,Komaram Bheem Asifabad,2016,November,0
1220,Komaram Bheem Asifabad,2016,December,0
11,Mahabubabad ,2016,January,46667.33333
121,Mahabubabad ,2016,February,46667.33333
231,Mahabubabad ,2016,March,46667.33333
341,Mahabubabad ,2016,April,46667.33333
451,Mahabubabad ,2016,May,46667.33333
561,Mahabubabad ,2016,June,46667.33333
671,Mahabubabad ,2016,July,46667.33333
781,Mahabubabad ,2016,August,46667.33333
891,Mahabubabad ,2016,September,46667.33333
1001,Mahabubabad ,2016,October,13032
1111,Mahabubabad ,2016,November,114015
1221,Mahabubabad ,2016,December,12955
12,Mahbubnagar,2016,January,577071
122,Mahbubnagar,2016,February,1312068
232,Mahbubnagar,2016,March,1731983
342,Mahbubnagar,2016,April,622432
452,Mahbubnagar,2016,May,571898
562,Mahbubnagar,2016,June,561006
672,Mahbubnagar,2016,July,562322
782,Mahbubnagar,2016,August,1133105
892,Mahbubnagar,2016,September,567712
1002,Mahbubnagar,2016,October,198592
1112,Mahbubnagar,2016,November,256375
1222,Mahbubnagar,2016,December,210202
13,Mancherial,2016,January,2600.666667
123,Mancherial,2016,February,2600.666667
233,Mancherial,2016,March,2600.666667
343,Mancherial,2016,April,2600.666667
453,Mancherial,2016,May,2600.666667
563,Mancherial,2016,June,2600.666667
673,Mancherial,2016,July,2600.666667
783,Mancherial,2016,August,2600.666667
893,Mancherial,2016,September,2600.666667
1003,Mancherial,2016,October,3124
1113,Mancherial,2016,November,2255
1223,Mancherial,2016,December,2423
14,Medak ,2016,January,92600
124,Medak ,2016,February,215000
234,Medak ,2016,March,1318000
344,Medak ,2016,April,300000
454,Medak ,2016,May,198000
564,Medak ,2016,June,166700
674,Medak ,2016,July,153300
784,Medak ,2016,August,216100
894,Medak ,2016,September,132600
1004,Medak ,2016,October,15600
1114,Medak ,2016,November,132300
1224,Medak ,2016,December,523000
15,Nagarkurnool ,2016,January,196157.6667
125,Nagarkurnool ,2016,February,196157.6667
235,Nagarkurnool ,2016,March,196157.6667
345,Nagarkurnool ,2016,April,196157.6667
455,Nagarkurnool ,2016,May,196157.6667
565,Nagarkurnool ,2016,June,196157.6667
675,Nagarkurnool ,2016,July,196157.6667
785,Nagarkurnool ,2016,August,196157.6667
895,Nagarkurnool ,2016,September,196157.6667
1005,Nagarkurnool ,2016,October,201050
1115,Nagarkurnool ,2016,November,188786
1225,Nagarkurnool ,2016,December,198637
16,Nalgonda,2016,January,566515
126,Nalgonda,2016,February,539467
236,Nalgonda,2016,March,619462
346,Nalgonda,2016,April,601253
456,Nalgonda,2016,May,628872
566,Nalgonda,2016,June,551239
676,Nalgonda,2016,July,582820
786,Nalgonda,2016,August,988102
896,Nalgonda,2016,September,742402
1006,Nalgonda,2016,October,3508
